trait,hex,r,g,b
Ojos,#f7d3de,247,211,222
Ojos,#78aadc,120,170,220
Cuerpo,#efc3ad,239,195,173
Cuerpo,#e7efff,231,239,255
Cuerpo,#f7fbe7,247,251,231
Cuerpo,#efc784,239,199,132
Cuerpo,#fff3f7,255,243,247
Cuerpo,#8cbabd,140,186,189
Cuerpo,#b6975b,182,151,91
Cuerpo,#ba7d41,186,125,65
Manchas,#dec784,222,199,132
Manchas,#a5c3a5,165,195,165
Manchas,#e7efc6,231,239,198
Manchas,#bddbef,189,219,239
Manchas,#849e52,132,158,82
Manchas,#8475ad,132,117,173
Manchas,#a5c3a5,165,195,165
Manchas,#efd7bd,239,215,189
Manchas,#946a2d,148,106,45
Manchas,#2d2d2d,45,45,45
Orejas,#f7efff,247,239,255
Orejas,#efdfad,239,223,173
Orejas,#bdcfde,189,207,222
Orejas,#94964a,148,150,74
Orejas,#fffbf7,255,251,247
Orejas,#e7ebff,231,235,255
Orejas,#e1b9b4,225,185,180
